CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Age_CreditScore_interaction,Balance_EstimatedSalary_interaction,Age_Activity_interaction,Balance_Exited_interaction
461,Spain,Female,25,6,0.0,2,1,1,15306.29,0,11525,0.0,25,0.0
619,France,Female,35,4,90413.12,1,1,1,20555.21,0,21665,1858460668.3551998,35,0.0
699,France,Female,40,8,122038.34,1,1,0,102085.35,0,27960,12458326652.319,0,0.0
558,Germany,Male,41,2,124227.14,1,1,1,111184.67,0,22878,13812153565.9438,41,0.0
638,France,Male,34,5,133501.36,1,0,1,155643.04,0,21692,20778557514.534397,34,0.0
633,France,Male,37,7,141546.35,1,1,1,124830.11,0,23421,17669246440.5985,37,0.0
677,Germany,Male,28,0,143988.0,2,1,0,8755.69,1,18956,1260714291.72,0,143988.0
801,Spain,Male,42,4,141947.67,1,1,1,10598.29,0,33642,1504402571.4843004,42,0.0
768,France,Male,25,0,78396.08,1,1,1,8316.19,0,19200,651956696.5352,25,0.0
752,France,Male,38,0,145974.79,2,1,1,137694.23,0,28576,20099886308.461704,38,0.0
554,France,Male,40,4,0.0,1,0,1,168780.04,0,22160,0.0,40,0.0
692,Spain,Female,49,9,0.0,2,1,0,178342.63,0,33908,0.0,0,0.0
657,France,Male,50,9,0.0,2,0,0,37171.46,0,32850,0.0,0,0.0
705,France,Female,48,0,0.0,2,0,0,149772.61,0,33840,0.0,0,0.0
635,Germany,Male,53,8,117005.55,1,0,1,123646.57,1,33655,14467334928.463501,53,117005.55
475,France,Female,57,1,0.0,2,1,0,89248.99,0,27075,0.0,0,0.0
741,France,Female,44,7,0.0,2,1,1,190534.76,0,32604,0.0,44,0.0
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,27216,23264398216.098003,36,0.0
489,Spain,Male,40,3,221532.8,1,1,0,171867.08,0,19560,38074195460.22399,0,0.0
671,Spain,Male,38,0,92674.94,2,1,0,3647.57,0,25498,338038330.8958,0,0.0
602,France,Female,35,8,0.0,2,1,1,152843.53,0,21070,0.0,35,0.0
732,France,Female,43,6,0.0,2,1,0,65731.53,0,31476,0.0,0,0.0
592,Germany,Male,31,7,124593.23,1,1,0,86079.67,0,18352,10724944122.6341,0,0.0
668,Germany,Male,34,5,80242.37,2,0,0,56780.97,0,22712,4556239603.6989,0,0.0
579,Spain,Male,37,4,0.0,2,1,1,32246.63,0,21423,0.0,37,0.0
681,France,Female,43,8,154100.3,1,0,0,114659.81,0,29283,17669111118.942997,0,0.0
612,France,Female,38,1,0.0,2,1,1,9209.21,0,23256,0.0,38,0.0
653,Spain,Male,30,4,0.0,2,1,0,120736.04,0,19590,0.0,0,0.0
674,France,Female,45,6,72494.69,1,0,1,140041.78,0,30330,10152285428.148201,45,0.0
716,France,Female,44,3,109528.28,1,1,0,27341.63,1,31504,2994681706.2964,0,109528.28
350,France,Female,40,0,111098.85,1,1,1,172321.21,1,14000,19144688261.6085,40,111098.85
796,Spain,Male,32,5,102773.15,2,0,1,117832.88,0,25472,12110056251.171999,32,0.0
520,France,Male,58,3,0.0,2,0,1,32790.02,0,30160,0.0,58,0.0
568,Spain,Female,27,1,116320.68,1,0,1,45563.94,0,15336,5300028484.2792,27,0.0
676,France,Male,35,5,106836.67,2,1,0,84199.78,0,23660,8995624109.9326,0,0.0
674,Germany,Male,34,2,152797.9,1,1,0,175709.4,1,22916,26848027330.26,0,152797.9
452,France,Female,33,6,131698.57,2,1,0,151623.91,0,14916,19968652124.8087,0,0.0
670,Germany,Male,43,9,111677.88,1,1,0,178827.3,1,28810,19971053750.124,0,111677.88
692,France,Female,36,4,0.0,1,1,0,185580.89,1,24912,0.0,0,0.0
540,Germany,Male,39,1,82531.11,1,1,0,114092.52,0,21060,9416182318.297201,0,0.0
836,Spain,Male,57,4,101247.06,1,1,0,37141.62,1,47652,3760479828.6372004,0,101247.06
710,Spain,Female,27,2,135277.96,1,1,0,142200.15,0,19170,19236546203.693996,0,0.0
644,Spain,Male,18,8,0.0,2,1,0,59172.42,0,11592,0.0,0,0.0
692,Spain,Female,29,4,0.0,2,0,0,138880.24,0,20068,0.0,0,0.0
780,Germany,Male,51,4,126725.25,1,1,0,195259.31,1,39780,24744284874.5775,0,126725.25
767,Spain,Male,77,8,149083.7,1,1,1,190146.83,0,59059,28347792959.671,77,0.0
724,Spain,Male,45,5,83888.54,1,0,1,34121.81,0,32580,2862428823.0573997,45,0.0
619,France,Male,25,4,0.0,1,1,0,145524.36,0,15475,0.0,0,0.0
649,France,Male,37,9,87374.88,2,1,1,247.36,0,24013,21613050.316800002,37,0.0
512,France,Female,37,1,0.0,2,0,1,156105.03,0,18944,0.0,37,0.0
569,France,Male,43,7,0.0,2,1,0,52534.81,0,24467,0.0,0,0.0
671,France,Female,48,8,115713.84,2,0,0,83210.84,0,32208,9628645826.025599,0,0.0
743,France,Male,36,4,0.0,2,1,1,190911.02,0,26748,0.0,36,0.0
648,Germany,Female,28,8,90371.09,1,1,1,146851.73,0,18144,13271150908.4857,28,0.0
770,France,Male,36,2,89800.14,1,1,1,105922.69,0,27720,9511872391.1766,36,0.0
585,Spain,Male,45,0,0.0,2,0,0,189683.7,0,26325,0.0,0,0.0
652,Germany,Female,45,9,110827.49,1,1,1,153383.54,1,29340,16999112745.5146,45,110827.49
615,Germany,Male,24,8,108528.07,2,0,0,179488.41,1,14760,19479530724.6687,0,108528.07
796,Spain,Female,23,3,146584.19,2,0,0,125445.8,0,18308,18388370981.902,0,0.0
622,France,Male,43,8,0.0,2,1,0,100618.17,0,26746,0.0,0,0.0
781,France,Female,42,3,156555.54,1,1,1,175674.01,0,32802,27502739499.515404,42,0.0
730,France,Male,39,1,116537.6,1,0,0,145679.6,0,28470,16977150952.960001,0,0.0
694,France,Female,30,9,0.0,2,1,1,26960.31,0,20820,0.0,30,0.0
556,France,Female,51,8,61354.14,1,1,0,198810.65,1,28356,12197856453.591,0,61354.14
473,France,Female,39,9,117103.26,2,1,1,85937.52,1,18447,10063563748.3152,39,117103.26
555,Spain,Female,35,1,0.0,2,1,0,101667.0,0,19425,0.0,0,0.0
543,France,Male,42,7,0.0,1,1,1,56650.47,0,22806,0.0,42,0.0
592,Spain,Male,41,0,0.0,2,1,0,65906.07,0,24272,0.0,0,0.0
544,Spain,Male,30,8,145241.63,1,1,1,80676.83,0,16320,11717634292.432901,30,0.0
703,France,Male,37,8,105961.68,2,0,1,74158.8,0,26011,7857991034.783999,37,0.0
651,France,Female,41,4,38617.2,1,1,1,104876.8,0,26691,4050048360.96,41,0.0
634,Germany,Female,37,7,143258.85,2,1,0,192721.98,0,23458,27609129224.523003,0,0.0
683,France,Male,30,4,114779.35,1,0,0,183171.47,0,20490,21024302265.1445,0,0.0
635,Germany,Female,36,9,81231.85,2,1,0,196731.08,0,22860,15980829580.898,0,0.0
686,Spain,Male,41,7,102749.72,1,0,1,194913.86,0,28126,20027344539.119198,41,0.0
776,Germany,Female,37,1,93124.04,2,1,1,196079.32,0,28712,18259698438.8528,37,0.0
514,France,Male,32,8,0.0,2,1,0,95857.18,0,16448,0.0,0,0.0
572,France,Female,36,8,68348.18,2,0,1,50400.32,0,20592,3444770143.4175997,36,0.0
660,Germany,Male,35,8,58641.43,1,0,1,198674.08,0,23100,11650532155.1344,35,0.0
795,Germany,Female,56,9,94348.94,1,1,0,29239.29,1,44520,2758696017.8526,0,94348.94
613,Germany,Female,30,5,131563.88,2,1,0,170638.98,0,18390,22449926288.0424,0,0.0
704,France,Male,44,3,0.0,2,0,1,152884.85,0,30976,0.0,44,0.0
527,Spain,Male,28,6,128396.33,2,1,0,79919.97,0,14756,10261430841.7101,0,0.0
602,Germany,Female,43,2,113641.49,4,1,0,115116.35,1,25886,13081993537.361502,0,113641.49
705,Germany,Male,41,4,72252.64,2,1,1,142514.66,0,28905,10297060423.7024,41,0.0
806,France,Male,48,4,164701.68,1,1,1,21439.49,0,38688,3531120021.3432,48,0.0
586,France,Female,43,8,132558.26,1,1,0,67046.83,1,25198,8887611123.315802,0,132558.26
725,France,Male,35,7,75915.75,1,1,0,150507.43,0,25375,11425884429.0225,0,0.0
734,France,Female,54,3,0.0,1,1,0,130805.54,1,39636,0.0,0,0.0
798,Germany,Female,39,6,119787.76,1,1,1,164248.33,0,31122,19674939534.440796,39,0.0
802,France,Male,38,1,142557.11,1,1,1,172497.73,0,30476,24590777870.3603,38,0.0
785,Germany,Female,32,3,124493.03,2,0,1,52583.79,1,25120,6546315345.9837,32,124493.03
800,France,Female,38,2,168190.33,2,1,0,68052.08,0,30400,11445701792.3864,0,0.0
794,France,Male,33,0,0.0,2,0,0,178122.71,0,26202,0.0,0,0.0
850,France,Female,28,1,105245.34,1,0,1,74780.13,0,23800,7870260207.0942,28,0.0
493,Germany,Female,35,8,178317.6,1,0,0,197428.64,0,17255,35205001256.064,0,0.0
514,France,Female,46,3,106511.85,1,1,0,55072.32,0,23644,5865854686.992001,0,0.0
549,France,Male,29,3,0.0,2,1,0,146090.38,0,15921,0.0,0,0.0
652,Spain,Male,37,7,0.0,2,1,0,68789.93,0,24124,0.0,0,0.0
664,France,Male,40,9,0.0,2,1,0,194767.3,0,26560,0.0,0,0.0
545,Spain,Female,47,5,0.0,2,1,1,38970.14,0,25615,0.0,47,0.0
850,France,Male,35,2,0.0,2,1,1,56991.66,0,29750,0.0,35,0.0
719,France,Male,49,5,105918.1,1,1,1,16246.59,0,35231,1720807944.279,49,0.0
749,Spain,Male,42,9,222267.63,1,0,0,101108.85,1,31458,22473224461.5255,0,222267.63
763,Spain,Male,37,8,0.0,2,1,1,933.38,0,28231,0.0,37,0.0
709,France,Female,30,5,0.0,2,0,1,161388.22,0,21270,0.0,30,0.0
536,Spain,Male,53,2,143923.96,1,1,0,2019.78,1,28408,290694735.9288,0,143923.96
553,France,Male,38,3,99844.68,1,0,0,187915.7,0,21014,18762382933.476,0,0.0
658,France,Male,29,3,145512.84,1,1,0,20207.02,0,19082,2940380868.1368,0,0.0
577,France,Male,29,7,0.0,2,1,1,55473.15,0,16733,0.0,29,0.0
765,France,Male,44,6,0.0,2,1,1,159899.97,0,33660,0.0,44,0.0
766,Germany,Female,28,4,90696.78,1,0,1,21597.2,0,21448,1958796497.016,28,0.0
590,Spain,Male,37,1,0.0,2,0,0,133535.99,0,21830,0.0,0,0.0
847,Germany,Female,41,3,101543.51,4,1,0,16025.17,1,34727,1627252010.1467,0,101543.51
617,Spain,Male,61,3,113858.95,1,1,1,38129.22,0,37637,4341352953.519,61,0.0
703,France,Male,43,8,0.0,2,1,0,9704.66,0,30229,0.0,0,0.0
670,Spain,Female,32,3,0.0,2,1,0,46175.7,0,21440,0.0,0,0.0
550,Spain,Female,33,9,72788.03,1,1,1,103608.06,0,18150,7541426579.5218,33,0.0
573,Spain,Male,44,9,0.0,2,1,0,107124.17,0,25212,0.0,0,0.0
521,France,Male,37,2,0.0,2,1,1,86372.24,0,19277,0.0,37,0.0
654,France,Female,35,2,90865.8,1,1,1,86764.46,0,22890,7883922069.468,35,0.0
479,Germany,Male,24,6,107637.97,2,0,1,169505.83,0,11496,18245263444.365097,24,0.0
666,France,Male,47,2,0.0,1,1,0,35046.97,1,31302,0.0,0,0.0
652,France,Female,40,8,84390.8,2,0,1,107876.2,0,26080,9103758818.960001,40,0.0
684,Spain,Male,24,8,143582.89,1,1,1,22527.27,0,16416,3234530530.4103003,24,0.0
613,France,Male,40,4,0.0,1,0,0,151325.24,0,24520,0.0,0,0.0
610,France,Male,40,0,0.0,2,1,0,62232.6,0,24400,0.0,0,0.0
714,France,Female,24,7,0.0,2,1,0,166335.0,0,17136,0.0,0,0.0
642,Spain,Female,36,6,0.0,2,1,1,97938.59,0,23112,0.0,36,0.0
743,France,Male,42,7,77002.2,2,1,1,80428.42,0,31206,6193165282.523999,42,0.0
726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0,34848,6426289836.8556,0,0.0
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,23766,22375381040.9688,0,0.0
793,Spain,Male,38,9,0.0,2,1,0,88225.02,0,30134,0.0,0,0.0
777,France,Male,39,8,0.0,2,1,1,18613.52,0,30303,0.0,39,0.0
597,Spain,Male,24,0,108058.07,2,1,1,187826.11,0,14328,20296126942.2077,24,0.0
597,Germany,Female,72,6,124978.19,2,1,1,7144.46,0,42984,892901679.3274,72,0.0
655,Germany,Male,32,9,113447.01,1,1,0,82084.3,0,20960,9312218402.943,0,0.0
574,France,Female,39,5,119013.86,1,1,0,103421.91,0,22386,12308640717.6726,0,0.0
600,Germany,Male,57,9,138456.03,2,1,1,103548.25,0,34200,14336879608.4475,57,0.0
676,Spain,Male,48,1,131659.59,2,0,1,14152.15,0,32448,1863266266.6185,48,0.0
533,Germany,Female,22,10,115743.6,1,0,0,43852.05,0,11726,5075594134.380001,0,0.0
542,Spain,Male,35,2,174894.53,1,1,1,22314.55,0,18970,3902692734.4115,35,0.0
766,France,Female,26,3,104258.8,1,1,1,428.23,0,19916,44646745.924,26,0.0
658,France,Female,40,7,140596.95,1,0,1,135459.02,1,26320,19045125061.989,40,140596.95
792,Germany,Male,36,5,115725.24,2,0,0,1871.25,0,28512,216550855.35000002,0,0.0
526,Germany,Male,31,5,145537.21,1,1,0,132404.64,0,16306,19269801896.6544,0,0.0
523,France,Female,40,2,102967.41,1,1,0,128702.1,1,20920,13252121898.561,0,102967.41
535,France,Female,40,8,0.0,1,1,1,27689.77,0,21400,0.0,40,0.0
734,Germany,Female,52,6,71283.09,2,0,1,38984.37,0,38168,2778926355.3033,52,0.0
559,France,Female,43,1,0.0,1,0,1,86634.3,0,24037,0.0,43,0.0
773,France,Female,41,7,190238.93,1,1,1,57549.65,0,31693,10948183837.8745,41,0.0
714,Spain,Male,45,8,150900.29,2,0,1,139889.15,0,32130,21109313302.8535,45,0.0
